snapshot_id,item_id,branch_id,platform_id,base_price,original_price,discount_type,discount_value,effective_price,delivery_fee_share,is_vat_inclusive,scraped_at
1,talabat_780202_3363465522,talabat_780202,talabat,13.0,,NO_DISCOUNT,,13.0,,0,2026-07-01T09:09:32.044065
2,talabat_780202_3363465518,talabat_780202,talabat,21.0,,NO_DISCOUNT,,21.0,,0,2026-07-01T09:09:32.044065
3,talabat_780202_3363465537,talabat_780202,talabat,0.0,,NO_DISCOUNT,,0.0,,0,2026-07-01T09:09:32.044065
4,talabat_780202_3363465517,talabat_780202,talabat,0.0,,NO_DISCOUNT,,0.0,,0,2026-07-01T09:09:32.044065
5,talabat_780202_3363465540,talabat_780202,talabat,33.0,,NO_DISCOUNT,,33.0,,0,2026-07-01T09:09:32.044065
6,talabat_780202_3363465665,talabat_780202,talabat,0.0,,NO_DISCOUNT,,0.0,,0,2026-07-01T09:09:32.044065
7,talabat_780202_3363465505,talabat_780202,talabat,21.0,,NO_DISCOUNT,,21.0,,0,2026-07-01T09:09:32.044065
8,talabat_780202_3363465506,talabat_780202,talabat,16.0,,NO_DISCOUNT,,16.0,,0,2026-07-01T09:09:32.044065
9,talabat_780202_3363465510,talabat_780202,talabat,16.0,,NO_DISCOUNT,,16.0,,0,2026-07-01T09:09:32.044065
10,talabat_780202_3363465512,talabat_780202,talabat,16.0,,NO_DISCOUNT,,16.0,,0,2026-07-01T09:09:32.044065
11,talabat_780202_3363465508,talabat_780202,talabat,24.0,,NO_DISCOUNT,,24.0,,0,2026-07-01T09:09:32.044065
12,talabat_780202_3363465507,talabat_780202,talabat,27.0,,NO_DISCOUNT,,27.0,,0,2026-07-01T09:09:32.044065
13,talabat_780202_3363465509,talabat_780202,talabat,18.0,,NO_DISCOUNT,,18.0,,0,2026-07-01T09:09:32.044065
14,talabat_780202_3363465511,talabat_780202,talabat,18.0,,NO_DISCOUNT,,18.0,,0,2026-07-01T09:09:32.044065
15,talabat_780202_3363465537,talabat_780202,talabat,0.0,,NO_DISCOUNT,,0.0,,0,2026-07-01T09:09:32.044065
16,talabat_780202_3363465539,talabat_780202,talabat,0.0,,NO_DISCOUNT,,0.0,,0,2026-07-01T09:09:32.044065
17,talabat_780202_3363465540,talabat_780202,talabat,33.0,,NO_DISCOUNT,,33.0,,0,2026-07-01T09:09:32.044065
